"Environment","Genotype","Block","Season","Grain_yield"
"Planaltina","30","2","1","9.74"
"Planaltina","38","2","1","12.18"
"Planaltina","46","2","1","10.05"
"Planaltina","54","2","1","12.22"
"Planaltina","62","2","1","10.69"
"Planaltina","7","2","1","9.73"
"Planaltina","15","2","1","10.92"
"Planaltina","23","2","1","11.97"
"Planaltina","31","2","1","9.34"
"Planaltina","39","2","1","12.28"
"Planaltina","47","2","1","9.89"
"Planaltina","55","2","1","11.02"
"Planaltina","63","2","1","8.36"
"Planaltina","8","2","1","10.11"
"Planaltina","16","2","1","12.84"
"Planaltina","24","2","1","11.43"
"Planaltina","32","2","1","10.77"
"Planaltina","40","2","1","10.68"
"Planaltina","48","2","1","10.8"
"Planaltina","56","2","1","11.75"
"Planaltina","64","2","1","9.68"
"Sinop 01","1","1","1","8.32"
"Sinop 01","2","1","1","8.11"
"Sinop 01","3","1","1","8.11"
"Sinop 01","4","1","1","7.27"
"Sinop 01","5","1","1","3.83"
"Sinop 01","6","1","1","4.9"
"Sinop 01","7","1","1","5.6"
"Sinop 01","8","1","1","5.33"
"Sinop 01","9","1","1","6.96"
"Sinop 01","10","1","1","8.29"
"Sinop 01","11","1","1","8.58"
"Sinop 01","12","1","1","6.53"
"Sinop 01","13","1","1","6.45"
"Sinop 01","14","1","1","6.42"
"Sinop 01","15","1","1","8.71"
"Sinop 01","16","1","1","11.00"
"Sinop 01","17","1","1","9.49"
"Sinop 01","18","1","1","5.01"
"Sinop 01","19","1","1","9.45"
"Sinop 01","20","1","1","5.77"
"Sinop 01","21","1","1","7.05"
"Sinop 01","22","1","1","9.75"
"Sinop 01","23","1","1","6.7"
"Sinop 01","24","1","1","7.96"
"Sinop 01","25","1","1","6.44"
"Sinop 01","26","1","1","6.74"
"Sinop 01","27","1","1","6.9"
"Sinop 01","28","1","1","8.27"
"Sinop 01","29","1","1","5.53"
"Sinop 01","30","1","1","6.18"
"Sinop 01","31","1","1","6.49"
"Sinop 01","32","1","1","8.74"
"Sinop 01","33","1","1","10.1"
"Sinop 01","34","1","1","7.7"
"Sinop 01","35","1","1","10.52"
"Sinop 01","36","1","1","8.96"
"Sinop 01","37","1","1","6.28"
"Sinop 01","38","1","1","8.2"
"Sinop 01","39","1","1","6.61"
"Sinop 01","40","1","1","6.61"
"Sinop 01","41","1","1","6.86"
"Sinop 01","42","1","1","8.65"
"Sinop 01","43","1","1","6.32"
"Sinop 01","44","1","1","5.27"
"Sinop 01","45","1","1","7.63"
"Sinop 01","46","1","1","6.72"
"Sinop 01","47","1","1","8.56"
"Sinop 01","48","1","1","7.54"
"Sinop 01","49","1","1","7.12"
"Sinop 01","50","1","1","9.45"
"Sinop 01","51","1","1","8.83"
"Sinop 01","52","1","1","7.75"
"Sinop 01","53","1","1","5.3"
"Sinop 01","54","1","1","4.77"
"Sinop 01","55","1","1","6.02"
"Sinop 01","56","1","1","4.56"
"Sinop 01","57","1","1","7.23"
"Sinop 01","58","1","1","6.72"
"Sinop 01","59","1","1","5.87"
"Sinop 01","60","1","1","7.43"
"Sinop 01","61","1","1","7.08"
"Sinop 01","62","1","1","9.5"
"Sinop 01","63","1","1","5.46"
"Sinop 01","64","1","1","8.96"
"Sinop 01","1","2","1","9.62"
"Sinop 01","9","2","1","7.19"
"Sinop 01","17","2","1","9.52"
"Sinop 01","25","2","1","6.29"
"Sinop 01","33","2","1","8.06"
"Sinop 01","41","2","1","6.18"
"Sinop 01","49","2","1","5.97"
"Sinop 01","57","2","1","7.15"
"Sinop 01","2","2","1","8.47"
"Sinop 01","10","2","1","6.82"
"Sinop 01","18","2","1","5.23"
"Sinop 01","26","2","1","6.87"
"Sinop 01","34","2","1","8.48"
"Sinop 01","42","2","1","7.55"
"Sinop 01","50","2","1","6.94"
"Sinop 01","58","2","1","6.21"
"Sinop 01","3","2","1","9.21"
"Sinop 01","11","2","1","7.29"
"Sinop 01","19","2","1","7.45"
"Sinop 01","27","2","1","8.37"
"Sinop 01","35","2","1","11.05"
"Sinop 01","43","2","1","5.69"
"Sinop 01","51","2","1","7.86"
"Sinop 01","59","2","1","6.14"
"Sinop 01","4","2","1","7.07"
"Sinop 01","12","2","1","5.71"
"Sinop 01","20","2","1","5.75"
"Sinop 01","28","2","1","7.72"
"Sinop 01","36","2","1","7.99"
"Sinop 01","44","2","1","6.9"
"Sinop 01","52","2","1","9.02"
"Sinop 01","60","2","1","8.7"
"Sinop 01","5","2","1","9.19"
"Sinop 01","13","2","1","6.39"
"Sinop 01","21","2","1","7.81"
"Sinop 01","29","2","1","6.73"
"Sinop 01","37","2","1","5.83"
"Sinop 01","45","2","1","8.13"
"Sinop 01","53","2","1","5.35"
"Sinop 01","61","2","1","7.66"
"Sinop 01","6","2","1","7.22"
"Sinop 01","14","2","1","6.21"
"Sinop 01","22","2","1","10.62"
"Sinop 01","30","2","1","7.66"
"Sinop 01","38","2","1","7.77"
"Sinop 01","46","2","1","6.87"
"Sinop 01","54","2","1","7.57"
"Sinop 01","62","2","1","7.52"
"Sinop 01","7","2","1","7.49"
"Sinop 01","15","2","1","6.85"
"Sinop 01","23","2","1","5.59"
"Sinop 01","31","2","1","6.52"
"Sinop 01","39","2","1","6.56"
"Sinop 01","47","2","1","5.95"
"Sinop 01","55","2","1","8.08"
"Sinop 01","63","2","1","3.49"
"Sinop 01","8","2","1","5.86"
"Sinop 01","16","2","1","10.78"
"Sinop 01","24","2","1","8.48"
"Sinop 01","32","2","1","7.47"
"Sinop 01","40","2","1","6.89"
"Sinop 01","48","2","1","7.66"
"Sinop 01","56","2","1","7.31"
"Sinop 01","64","2","1","9.06"
"C. Mourão 01","1","1","1","12.26"
"C. Mourão 01","2","1","1","9.00"
"C. Mourão 01","3","1","1","11.39"
"C. Mourão 01","4","1","1","11.7"
"C. Mourão 01","5","1","1","9.48"
"C. Mourão 01","6","1","1","12.86"
"C. Mourão 01","7","1","1","9.82"
"C. Mourão 01","8","1","1","10.25"
"C. Mourão 01","9","1","1","11.17"
"C. Mourão 01","10","1","1","11.51"
"C. Mourão 01","11","1","1","10.53"
"C. Mourão 01","12","1","1","12.6"
"C. Mourão 01","13","1","1","10.36"
"C. Mourão 01","14","1","1","8.16"
"C. Mourão 01","15","1","1","10.71"
"C. Mourão 01","16","1","1","13.21"
"C. Mourão 01","17","1","1","12.08"
"C. Mourão 01","18","1","1","8.32"
"C. Mourão 01","19","1","1","10.41"
"C. Mourão 01","20","1","1","11.77"
"C. Mourão 01","21","1","1","9.66"
"C. Mourão 01","22","1","1","12.5"
"C. Mourão 01","23","1","1","11.11"
"C. Mourão 01","24","1","1","11.91"
"C. Mourão 01","25","1","1","12.41"
"C. Mourão 01","26","1","1","10.46"
"C. Mourão 01","27","1","1","12.15"
"C. Mourão 01","28","1","1","12.57"
"C. Mourão 01","29","1","1","10.76"
"C. Mourão 01","30","1","1","12.08"
"C. Mourão 01","31","1","1","10.7"
"C. Mourão 01","32","1","1","10.61"
"C. Mourão 01","33","1","1","11.14"
"C. Mourão 01","34","1","1","12.75"
"C. Mourão 01","35","1","1","13.27"
"C. Mourão 01","36","1","1","13.08"
"C. Mourão 01","37","1","1","10.22"
"C. Mourão 01","38","1","1","8.77"
"C. Mourão 01","39","1","1","11.81"
"C. Mourão 01","40","1","1","8.93"
"C. Mourão 01","41","1","1","11.93"
"C. Mourão 01","42","1","1","8.97"
"C. Mourão 01","43","1","1","8.47"
"C. Mourão 01","44","1","1","9.75"
"C. Mourão 01","45","1","1","12.25"
"C. Mourão 01","46","1","1","12.21"
"C. Mourão 01","47","1","1","13.16"
"C. Mourão 01","48","1","1","12.04"
"C. Mourão 01","49","1","1","10.45"
"C. Mourão 01","50","1","1","10.89"
"C. Mourão 01","51","1","1","9.82"
"C. Mourão 01","52","1","1","13.16"
"C. Mourão 01","53","1","1","10.15"
"C. Mourão 01","54","1","1","13.03"
"C. Mourão 01","55","1","1","11.44"
"C. Mourão 01","56","1","1","12.74"
"C. Mourão 01","57","1","1","10.7"
"C. Mourão 01","58","1","1","12.24"
"C. Mourão 01","59","1","1","12.26"
"C. Mourão 01","60","1","1","10.26"
"C. Mourão 01","61","1","1","11.9"
"C. Mourão 01","62","1","1","9.9"
"C. Mourão 01","63","1","1","8.52"
"C. Mourão 01","64","1","1","11.91"
"C. Mourão 01","1","2","1","11.3"
"C. Mourão 01","9","2","1","10.11"
"C. Mourão 01","17","2","1","11.07"
"C. Mourão 01","25","2","1","11.27"
"C. Mourão 01","33","2","1","9.61"
"C. Mourão 01","41","2","1","11.32"
"C. Mourão 01","49","2","1","11.83"
"C. Mourão 01","57","2","1","9.77"
"C. Mourão 01","2","2","1","8.6"
"C. Mourão 01","10","2","1","9.36"
"C. Mourão 01","18","2","1","9.18"
"C. Mourão 01","26","2","1","9.31"
"C. Mourão 01","34","2","1","10.69"
"C. Mourão 01","42","2","1","9.59"
"C. Mourão 01","50","2","1","11.83"
"C. Mourão 01","58","2","1","12.33"
"C. Mourão 01","3","2","1","11.27"
"C. Mourão 01","11","2","1","9.17"
"C. Mourão 01","19","2","1","9.97"
"C. Mourão 01","27","2","1","11.65"
"C. Mourão 01","35","2","1","12.92"
"C. Mourão 01","43","2","1","10.08"
"C. Mourão 01","51","2","1","10.6"
"C. Mourão 01","59","2","1","10.43"
"C. Mourão 01","4","2","1","11.7"
"C. Mourão 01","12","2","1","12.27"
"C. Mourão 01","20","2","1","12.15"
"C. Mourão 01","28","2","1","13.72"
"C. Mourão 01","36","2","1","13.11"
"C. Mourão 01","44","2","1","8.32"
"C. Mourão 01","52","2","1","11.83"
"C. Mourão 01","60","2","1","12.11"
"C. Mourão 01","5","2","1","8.14"
"C. Mourão 01","13","2","1","12.12"
"C. Mourão 01","21","2","1","9.53"
"C. Mourão 01","29","2","1","12.3"
"C. Mourão 01","37","2","1","8.96"
"C. Mourão 01","45","2","1","12.63"
"C. Mourão 01","53","2","1","11.11"
"C. Mourão 01","61","2","1","12.06"
"C. Mourão 01","6","2","1","13.15"
"C. Mourão 01","14","2","1","8.9"
"C. Mourão 01","22","2","1","14.15"
"C. Mourão 01","30","2","1","11.13"
"C. Mourão 01","38","2","1","11.75"
"C. Mourão 01","46","2","1","11.56"
"C. Mourão 01","54","2","1","13.04"
"C. Mourão 01","62","2","1","11.28"
"C. Mourão 01","7","2","1","9.37"
"C. Mourão 01","15","2","1","11.37"
"C. Mourão 01","23","2","1","11.91"
"C. Mourão 01","31","2","1","10.43"
"C. Mourão 01","39","2","1","13.14"
"C. Mourão 01","47","2","1","12.16"
"C. Mourão 01","55","2","1","11.95"
"C. Mourão 01","63","2","1","8.74"
"C. Mourão 01","8","2","1","11.75"
"C. Mourão 01","16","2","1","13.09"
"C. Mourão 01","24","2","1","12.51"
"C. Mourão 01","32","2","1","11.64"
"C. Mourão 01","40","2","1","8.64"
"C. Mourão 01","48","2","1","10.93"
"C. Mourão 01","56","2","1","11.71"
"C. Mourão 01","64","2","1","13.49"
"Londrina","1","1","1","7.03"
"Londrina","2","1","1","8.19"
"Londrina","3","1","1","8.88"
"Londrina","4","1","1","8.18"
"Londrina","5","1","1","7.85"
"Londrina","6","1","1","10.01"
"Londrina","7","1","1","8.81"
"Londrina","8","1","1","7.72"
"Londrina","9","1","1","8.25"
"Londrina","10","1","1","10.52"
"Londrina","11","1","1","10.25"
"Londrina","12","1","1","10.26"
"Londrina","13","1","1","10.19"
"Londrina","14","1","1","5.32"
"Londrina","15","1","1","9.08"
"Londrina","16","1","1","13.58"
"Londrina","17","1","1","10.99"
"Londrina","18","1","1","7.11"
"Londrina","19","1","1","10.28"
"Londrina","20","1","1","5.98"
"Londrina","21","1","1","8.43"
"Londrina","22","1","1","9.21"
"Londrina","23","1","1","9.26"
"Londrina","24","1","1","8.29"
"Londrina","25","1","1","6.41"
"Londrina","26","1","1","7.13"
"Londrina","27","1","1","8.57"
"Londrina","28","1","1","8.42"
"Londrina","29","1","1","8.43"
"Londrina","30","1","1","8.39"
"Londrina","31","1","1","6.53"
"Londrina","32","1","1","10.34"
"Londrina","33","1","1","8.98"
"Londrina","34","1","1","7.17"
"Londrina","35","1","1","8.28"
"Londrina","36","1","1","10.93"
"Londrina","37","1","1","8.84"
"Londrina","38","1","1","7.42"
"Londrina","39","1","1","10.6"
"Londrina","40","1","1","8.46"
"Londrina","41","1","1","7.4"
"Londrina","42","1","1","8.46"
"Londrina","43","1","1","8.33"
"Londrina","44","1","1","8.09"
"Londrina","45","1","1","10.28"
"Londrina","46","1","1","8.87"
"Londrina","47","1","1","8.7"
"Londrina","48","1","1","8.72"
"Londrina","49","1","1","7.03"
"Londrina","50","1","1","9.15"
"Londrina","51","1","1","7.09"
"Londrina","52","1","1","11.48"
"Londrina","53","1","1","8.00"
"Londrina","54","1","1","8.49"
"Londrina","55","1","1","6.00"
"Londrina","56","1","1","8.59"
"Londrina","57","1","1","8.06"
"Londrina","58","1","1","8.31"
"Londrina","59","1","1","8.64"
"Londrina","60","1","1","8.25"
"Londrina","61","1","1","9.87"
"Londrina","62","1","1","8.57"
"Londrina","63","1","1","4.94"
"Londrina","64","1","1","10.91"
"Londrina","1","2","1","6.99"
"Londrina","9","2","1","8.67"
"Londrina","17","2","1","10.38"
"Londrina","25","2","1","8.94"
"Londrina","33","2","1","7.08"
"Londrina","41","2","1","6.82"
"Londrina","49","2","1","7.14"
"Londrina","57","2","1","9.46"
"Londrina","2","2","1","8.24"
"Londrina","10","2","1","9.89"
"Londrina","18","2","1","9.00"
"Londrina","26","2","1","7.21"
"Londrina","34","2","1","8.42"
"Londrina","42","2","1","10.33"
"Londrina","50","2","1","8.13"
"Londrina","58","2","1","9.2"
"Londrina","3","2","1","10.58"
"Londrina","11","2","1","10.2"
"Londrina","19","2","1","8.25"
"Londrina","27","2","1","10.38"
"Londrina","35","2","1","11.03"
"Londrina","43","2","1","7.6"
"Londrina","51","2","1","7.34"
"Londrina","59","2","1","9.14"
"Londrina","4","2","1","8.75"
"Londrina","12","2","1","10.51"
"Londrina","20","2","1","5.85"
"Londrina","28","2","1","10.22"
"Londrina","36","2","1","10.92"
"Londrina","44","2","1","9.19"
"Londrina","52","2","1","11.55"
"Londrina","60","2","1","6.77"
"Londrina","5","2","1","9.29"
"Londrina","13","2","1","8.35"
"Londrina","21","2","1","8.48"
"Londrina","29","2","1","9.96"
"Londrina","37","2","1","9.54"
"Londrina","45","2","1","8.75"
"Londrina","53","2","1","8.12"
"Londrina","61","2","1","6.69"
"Londrina","6","2","1","9.98"
"Londrina","14","2","1","7.3"
"Londrina","22","2","1","9.07"
"Londrina","30","2","1","8.06"
"Londrina","38","2","1","6.2"
"Londrina","46","2","1","8.55"
"Londrina","54","2","1","8.04"
"Londrina","62","2","1","8.3"
"Londrina","7","2","1","8.44"
"Londrina","15","2","1","9.76"
"Londrina","23","2","1","10.23"
"Londrina","31","2","1","8.82"
"Londrina","39","2","1","11.72"
"Londrina","47","2","1","7.14"
"Londrina","55","2","1","8.63"
"Londrina","63","2","1","7.02"
"Londrina","8","2","1","7.95"
"Londrina","16","2","1","12.16"
"Londrina","24","2","1","9.03"
"Londrina","32","2","1","9.52"
"Londrina","40","2","1","6.71"
"Londrina","48","2","1","7.79"
"Londrina","56","2","1","7.03"
"Londrina","64","2","1","9.31"
"7 Lagoas ","1","1","1","10.64"
"7 Lagoas ","2","1","1","10.67"
"7 Lagoas ","3","1","1","10.38"
"7 Lagoas ","4","1","1","11.72"
"7 Lagoas ","5","1","1","9.03"
"7 Lagoas ","6","1","1","11.16"
"7 Lagoas ","7","1","1","13.06"
"7 Lagoas ","8","1","1","8.47"
"7 Lagoas","9","1","1","12.35"
"7 Lagoas","10","1","1","11.9"
"7 Lagoas","11","1","1","10.18"
"7 Lagoas","12","1","1","11.93"
"7 Lagoas","13","1","1","11.47"
"7 Lagoas","14","1","1","7.41"
"7 Lagoas","15","1","1","12.91"
"7 Lagoas","16","1","1","10.97"
"7 Lagoas","17","1","1","12.1"
"7 Lagoas","18","1","1","9.36"
"7 Lagoas","19","1","1","10.89"
"7 Lagoas","20","1","1","7.37"
"7 Lagoas","21","1","1","11.4"
"7 Lagoas","22","1","1","12.09"
"7 Lagoas","23","1","1","11.35"
"7 Lagoas","24","1","1","12.4"
"7 Lagoas","25","1","1","9.52"
"7 Lagoas","26","1","1","10.29"
"7 Lagoas","27","1","1","10.31"
"7 Lagoas","28","1","1","8.64"
"7 Lagoas","29","1","1","11.15"
"7 Lagoas","30","1","1","9.43"
"7 Lagoas","31","1","1","10.31"
"7 Lagoas","32","1","1","11.98"
"7 Lagoas","33","1","1","10.32"
"7 Lagoas","34","1","1","11.4"
"7 Lagoas","35","1","1","12.49"
"7 Lagoas","36","1","1","13.00"
"7 Lagoas","37","1","1","11.61"
"7 Lagoas","38","1","1","10.49"
"7 Lagoas","39","1","1","11.71"
"7 Lagoas","40","1","1","9.96"
"7 Lagoas","41","1","1","9.82"
"7 Lagoas","42","1","1","12.44"
"7 Lagoas","43","1","1","10.77"
"7 Lagoas","44","1","1","10.05"
"7 Lagoas","45","1","1","12.28"
"7 Lagoas","46","1","1","11.07"
"7 Lagoas","47","1","1","10.26"
"7 Lagoas","48","1","1","11.58"
"7 Lagoas","49","1","1","7.34"
"7 Lagoas","50","1","1","7.44"
"7 Lagoas","51","1","1","7.09"
"7 Lagoas","52","1","1","9.77"
"7 Lagoas","53","1","1","8.53"
"7 Lagoas","54","1","1","11.9"
"7 Lagoas","55","1","1","11.06"
"7 Lagoas","56","1","1","10.47"
"7 Lagoas","57","1","1","10.18"
"7 Lagoas","58","1","1","8.74"
"7 Lagoas","59","1","1","12.26"
"7 Lagoas","60","1","1","10.74"
"7 Lagoas","61","1","1","10.96"
"7 Lagoas","62","1","1","12.16"
"7 Lagoas","63","1","1","9.35"
"7 Lagoas","64","1","1","9.97"
"7 Lagoas","1","2","1","11.12"
"7 Lagoas","9","2","1","8.88"
"7 Lagoas","17","2","1","7.57"
"7 Lagoas","25","2","1","9.79"
"7 Lagoas","33","2","1","9.01"
"7 Lagoas","41","2","1","9.52"
"7 Lagoas","49","2","1","9.71"
"7 Lagoas","57","2","1","9.3"
"7 Lagoas","2","2","1","10.67"
"7 Lagoas","10","2","1","8.66"
"7 Lagoas","18","2","1","7.72"
"7 Lagoas","26","2","1","12.09"
"7 Lagoas","34","2","1","10.76"
"7 Lagoas","42","2","1","9.59"
"7 Lagoas","50","2","1","8.84"
"7 Lagoas","58","2","1","8.37"
"7 Lagoas","3","2","1","9.04"
"7 Lagoas","11","2","1","10.18"
"7 Lagoas","19","2","1","10.33"
"7 Lagoas","27","2","1","12.27"
"7 Lagoas","35","2","1","12.52"
"7 Lagoas","43","2","1","9.88"
"7 Lagoas","51","2","1","12.03"
"7 Lagoas","59","2","1","9.86"
"7 Lagoas","4","2","1","10.09"
"7 Lagoas","12","2","1","12.49"
"7 Lagoas","20","2","1","9.8"
"7 Lagoas","28","2","1","10.17"
"7 Lagoas","36","2","1","12.36"
"7 Lagoas","44","2","1","10.05"
"7 Lagoas","52","2","1","9.82"
"7 Lagoas","60","2","1","9.81"
"7 Lagoas","5","2","1","9.06"
"7 Lagoas","13","2","1","12.73"
"7 Lagoas","21","2","1","7.91"
"7 Lagoas","29","2","1","9.94"
"7 Lagoas","37","2","1","11.99"
"7 Lagoas","45","2","1","8.67"
"7 Lagoas","53","2","1","8.72"
"7 Lagoas","61","2","1","11.25"
"7 Lagoas","6","2","1","11.98"
"7 Lagoas","14","2","1","7.17"
"7 Lagoas","22","2","1","10.91"
"7 Lagoas","30","2","1","10.03"
"7 Lagoas","38","2","1","10.57"
"7 Lagoas","46","2","1","10.12"
"7 Lagoas","54","2","1","10.19"
"7 Lagoas","62","2","1","10.66"
"7 Lagoas","7","2","1","12.06"
"7 Lagoas","15","2","1","12.91"
"7 Lagoas","23","2","1","10.25"
"7 Lagoas","31","2","1","9.88"
"7 Lagoas","39","2","1","12.56"
"7 Lagoas","47","2","1","11.08"
"7 Lagoas","55","2","1","11.85"
"7 Lagoas","63","2","1","10.2"
"7 Lagoas","8","2","1","8.47"
"7 Lagoas","16","2","1","14.95"
"7 Lagoas","24","2","1","12.4"
"7 Lagoas","32","2","1","13.49"
"7 Lagoas","40","2","1","8.25"
"7 Lagoas","48","2","1","10.82"
"7 Lagoas","56","2","1","9.21"
"7 Lagoas","64","2","1","10.3"
"Goiânia","1","1","1","10.25"
"Goiânia","2","1","1","9.46"
"Goiânia","3","1","1","9.93"
"Goiânia","4","1","1","12.32"
"Goiânia","5","1","1","10.85"
"Goiânia","6","1","1","13.51"
"Goiânia","7","1","1","6.52"
"Goiânia","8","1","1","6.97"
"Goiânia","9","1","1","8.91"
"Goiânia","10","1","1","8.91"
"Goiânia","11","1","1","9.6"
"Goiânia","12","1","1","8.93"
"Goiânia","13","1","1","8.64"
"Goiânia","14","1","1","7.93"
"Goiânia","15","1","1","10.94"
"Goiânia","16","1","1","12.9"
"Goiânia","17","1","1","12.36"
"Goiânia","18","1","1","7.17"
"Goiânia","19","1","1","10.12"
"Goiânia","20","1","1","9.72"
"Goiânia","21","1","1","6.88"
"Goiânia","22","1","1","12.1"
"Goiânia","23","1","1","9.75"
"Goiânia","24","1","1","9.68"
"Goiânia","25","1","1","8.23"
"Goiânia","26","1","1","8.77"
"Goiânia","27","1","1","10.15"
"Goiânia","28","1","1","13.07"
"Goiânia","29","1","1","11.03"
"Goiânia","30","1","1","10.29"
"Goiânia","31","1","1","8.3"
"Goiânia","32","1","1","9.59"
"Goiânia","33","1","1","8.18"
"Goiânia","34","1","1","9.14"
"Goiânia","35","1","1","9.96"
"Goiânia","36","1","1","9.45"
"Goiânia","37","1","1","9.31"
"Goiânia","38","1","1","8.6"
"Goiânia","39","1","1","11.9"
"Goiânia","40","1","1","9.6"
"Goiânia","41","1","1","11.56"
"Goiânia","42","1","1","8.23"
"Goiânia","43","1","1","9.07"
"Goiânia","44","1","1","8.91"
"Goiânia","45","1","1","11.51"
"Goiânia","46","1","1","9.69"
"Goiânia","47","1","1","10.89"
"Goiânia","48","1","1","9.48"
"Goiânia","49","1","1","8.3"
"Goiânia","50","1","1","12.01"
"Goiânia","51","1","1","10.67"
"Goiânia","52","1","1","13.7"
"Goiânia","53","1","1","8.12"
"Goiânia","54","1","1","11.28"
"Goiânia","55","1","1","9.31"
"Goiânia","56","1","1","7.44"
"Goiânia","57","1","1","9.75"
"Goiânia","58","1","1","9.35"
"Goiânia","59","1","1","7.89"
"Goiânia","60","1","1","8.21"
"Goiânia","61","1","1","8.23"
"Goiânia","62","1","1","8.11"
"Goiânia","63","1","1","7.43"
"Goiânia","64","1","1","11.3"
"Goiânia","1","2","1","9.23"
"Goiânia","9","2","1","9.39"
"Goiânia","17","2","1","8.49"
"Goiânia","25","2","1","9.53"
"Goiânia","33","2","1","8.42"
"Goiânia","41","2","1","8.72"
"Goiânia","49","2","1","8.83"
"Goiânia","57","2","1","10.47"
"Goiânia","2","2","1","9.16"
"Goiânia","10","2","1","8.52"
"Goiânia","18","2","1","6.93"
"Goiânia","26","2","1","11.95"
"Goiânia","34","2","1","10.68"
"Goiânia","42","2","1","10.67"
"Goiânia","50","2","1","10.97"
"Goiânia","58","2","1","10.22"
"Goiânia","3","2","1","7.94"
"Goiânia","11","2","1","9.83"
"Goiânia","19","2","1","8.74"
"Goiânia","27","2","1","8.94"
"Goiânia","35","2","1","11.36"
"Goiânia","43","2","1","8.38"
"Goiânia","51","2","1","10.65"
"Goiânia","59","2","1","10.36"
"Goiânia","4","2","1","13.19"
"Goiânia","12","2","1","9.88"
"Goiânia","20","2","1","8.7"
"Goiânia","28","2","1","9.45"
"Goiânia","36","2","1","11.48"
"Goiânia","44","2","1","8.44"
"Goiânia","52","2","1","12.17"
"Goiânia","60","2","1","8.04"
"Goiânia","5","2","1","10.68"
"Goiânia","13","2","1","9.3"
"Goiânia","21","2","1","8.04"
